,lang,F1_Zero-shot XML-R,EM_Zero-shot XML-R
0,ar.ar,54.57,36.04
1,ar.de,34.25,19.83
2,ar.vi,14.95,5.67
3,ar.zh,14.07,5.13
4,ar.en,51.47,33.78
5,ar.es,26.95,13.5
6,ar.hi,15.61,5.84
7,de.ar,22.22,12.07
8,de.de,62.2,46.73
9,de.vi,28.73,16.18
10,de.zh,29.08,17.15
11,de.en,59.95,44.3
12,de.es,44.0,29.73
13,de.hi,29.41,17.62
14,vi.ar,17.75,6.64
15,vi.de,41.92,25.73
16,vi.vi,67.15,46.31
17,vi.zh,27.37,13.79
18,vi.en,63.61,44.57
19,vi.es,32.63,19.08
20,vi.hi,29.25,14.95
21,zh.ar,3.87,3.66
22,zh.de,14.01,13.26
23,zh.vi,8.08,7.67
24,zh.zh,39.96,39.34
25,zh.en,34.92,34.3
26,zh.es,11.33,10.73
27,zh.hi,10.79,10.41
28,en.ar,33.54,21.31
29,en.de,60.75,47.13
30,en.vi,39.83,27.53
31,en.zh,37.92,25.29
32,en.en,80.78,68.02
33,en.es,57.84,43.92
34,en.hi,44.97,32.03
35,es.ar,25.15,12.29
36,es.de,50.5,32.6
37,es.vi,29.07,14.87
38,es.zh,28.19,14.33
39,es.en,65.96,45.08
40,es.es,66.53,46.09
41,es.hi,31.81,17.06
42,hi.ar,19.47,7.97
43,hi.de,42.8,27.83
44,hi.vi,24.32,11.92
45,hi.zh,26.06,13.58
46,hi.en,60.59,43.41
47,hi.es,37.39,23.04
48,hi.hi,61.35,44.23
49,avg,37.04,24.77
