,en,es,de,ar,hi,vi,zh,avg
Zero-shot mBERT,80.3 / 67.0,64.9 / 43.6,59.4 / 43.8,44.9 / 28.0,46.2 / 30.0,58.8 / 39.6,37.4 / 36.8,56.0 / 41.3
Zero-shot XLM-R,80.8 / 68.0,66.5 / 46.1,62.2 / 46.7,54.6 / 36.0,61.4 / 44.2,67.2 / 46.3,40.0 / 39.3,61.8 / 46.7
Zero-shot XLM-R Large,84.0 / 71.2,72.1 / 50.2,68.5 / 52.4,62.0 / 42.1,69.8 / 51.3,73.1 / 51.8,45.7 / 45.1,67.9 / 52.0
Translate-test mBERT,,64.3 / 43.0,53.6 / 34.8,49.5 / 27.0,51.9 / 31.2,53.4 / 32.0,45.9 / 24.5,53.1 / 32.1
Translate-test BERT,,65.0 / 43.2,54.4 / 35.7,51.0 / 27.7,52.8 / 32.0,53.6 / 32.1,47.8 / 26.6,54.1 / 32.9
Translate-test BERT Large,,67.2 / 45.2,56.7 / 37.2,52.7 / 28.9,55.2 / 33.8,56.7 / 34.7,50.1 / 27.8,56.4 / 34.6
Translate-test XLM-R,,64.8 / 43.0,53.6 / 34.9,50.4 / 27.7,52.8 / 32.0,54.2 / 33.4,47.7 / 26.1,53.9 / 32.8
Translate-test XLM-R Large,,68.6 / 46.5,56.6 / 37.4,53.1 / 29.2,55.6 / 34.5,56.6 / 34.5,50.0 / 27.6,56.8 / 35.0
Translate-test RoBERTa,,66.0 / 43.4,54.1 / 34.1,51.4 / 27.6,52.3 / 31.0,54.0 / 32.4,47.6 / 25.2,54.2 / 32.3
Translate-test RoBERTa Large,,68.0 / 45.9,57.4 / 38.0,53.7 / 29.4,55.7 / 33.9,56.3 / 34.9,50.6 / 27.7,57.0 / 35.0
Translate-train es XLM-R,77.2 / 61.5,68.0 / 44.8,61.4 / 44.9,54.1 / 34.1,60.2 / 40.7,66.2 / 45.0,36.2 / 35.4,60.5 / 43.8
Translate-train de XLM-R,77.3 / 63.6,65.6 / 45.0,62.4 / 46.7,53.6 / 35.6,60.1 / 43.8,65.0 / 45.2,38.1 / 37.4,60.3 / 45.3
