,lang,F1_Zero-shot XML-R Large,EM_Zero-shot XML-R Large
0,ar.ar,62.04,42.08
1,ar.de,59.73,41.84
2,ar.vi,48.64,30.73
3,ar.zh,38.74,21.6
4,ar.en,61.72,42.23
5,ar.es,56.74,38.42
6,ar.hi,43.94,27.42
7,de.ar,31.22,19.53
8,de.de,68.47,52.38
9,de.vi,50.67,34.27
10,de.zh,32.29,18.94
11,de.en,67.73,51.69
12,de.es,65.32,49.55
13,de.hi,36.15,21.89
14,vi.ar,35.76,20.86
15,vi.de,67.68,48.24
16,vi.vi,73.06,51.79
17,vi.zh,39.24,21.67
18,vi.en,72.08,50.88
19,vi.es,64.66,45.49
20,vi.hi,42.0,25.27
21,zh.ar,25.91,25.42
22,zh.de,41.08,40.22
23,zh.vi,34.99,34.59
24,zh.zh,45.69,45.07
25,zh.en,44.23,43.64
26,zh.es,36.71,36.11
27,zh.hi,29.95,29.49
28,en.ar,32.44,22.06
29,en.de,77.67,65.09
30,en.vi,61.55,48.54
31,en.zh,33.8,21.12
32,en.en,83.97,71.18
33,en.es,77.24,64.21
34,en.hi,43.64,30.68
35,es.ar,32.96,17.75
36,es.de,69.96,48.65
37,es.vi,54.83,35.63
38,es.zh,36.47,20.54
39,es.en,72.09,50.31
40,es.es,72.11,50.16
41,es.hi,42.1,26.12
42,hi.ar,45.51,29.11
43,hi.de,65.07,49.93
44,hi.vi,54.38,37.65
45,hi.zh,44.58,28.52
46,hi.en,70.51,52.56
47,hi.es,63.25,45.91
48,hi.hi,69.83,51.3
49,avg,52.66,38.33
